code,perrin_source,perrin_supp_source,serjeant_source
B169,,,"c J. D. Bu'Lock, E. R. H. Jones and P. R. Leeming, J. Chem. Soc. 1957, 1097."
B169,,,"d J. D. Bu'Lock and H. Gregory, J. Chem. Soc. 1960, 2280."
B169a,,,"J. D. Bu'Lock, E. R. H. Jones and P. R. Leeming, J. Chem. Soc. 1955, 4270."
B170,,,"J. M. Bunting and D. D. Perrin, Aust. J. Chem. 19, 337 (1966)."
B171,,,"C. A. Bunton and H. Chaimovich, J. Am. Chem. Soc. 88, 4082 (1966)."
B172,,,"C. A. Bunton, E. J. Fendler and J. H. Fendler, J. Am. Chem. Soc. 89, 1221 (1967)."
B173,,,"C. A. Bunton, E. J. Fendler, E. Humeres and Kui-Un Yang, J. Org. Chem. 32, 2806 (1967)."
B174,,,"C. A. Bunton, D. R. Llewellyn, K. G. Oldham and C. A. Vernon, J. Chem. Soc. 1958, 3574."
B175,,,"A. Burger and J. J. Anderson, J. Am. Chem. Soc. 79, 3575 (1957)."
B176,,,"K. Burger, Talanta 8, 7 (1961)."
B177,,,"K. Burger, I. Egyed and I. Ruff, J. Inorg. Nucl. Chem. 28, 139 (1966)."
B178,,,"K. Burger and I. Ruff, Acta Chim. Acad. Sci. Hung. 49, 1 (1966); CA 65, 14502c."
B179,,,"J. F. Burke and N. W. Whitehouse, Biochem. Pharmacol. 14, 1039 (1965)."
B180,,,"R. K. Burkhard, D. E. Sellers, F. DeCou and J. L. Lambert, J. Org. Chem. 24, 767 (1959)."
B181,,,"J. J. Burns, T. F. Yu, P. Dayton, L. Berger, A. B. Gutman and B. B. Brodie, Nature (London) 182, 1162 (1958)."
B182,,,"A. I. Busev and V. M. Ivanov, J. Anal. Chem. USSR (Engl. Transl.) 22, 332 (1967)."
B183,,,"A. I. Busev, V. M. Ivanov and L. S. Krysina, Vestn. Mosk. Univ., Khim. 23, 80 (1968); CA 69, 106599s."
B184,,,"A. I. Busev, L. S. Krysina, T. N. Zholondkovskaya, G. A. Pribylova and E. P. Krysin, J. Anal. Chem. USSR (Engl. Transl.) 25, 1359 (1970)."
B185,,,"A. I. Busev, Z. I. Nemtseva and V. M. Ivanov, J. Anal. Chem. USSR (Engl. Transl.) 24, 1111 (1969)."
B186,,,"A. I. Busev, Z. I. Nemtseva and V. M. Ivanov, Vestn. Mosk. Univ., Khim. 24, 35 (1969); CA 70, 119801x."
B187,,,"D. I. Bustin, J. E. Earley and A. A. Vlcek, Inorg. Chem. 8, 2065 (1969)."
B188,,,"A. R. Butler, J. Chem. Soc. (B) 1970, 867."
B189,,,"T. C. Butler, J. Am. Pharm. Assoc., Sci. Ed. 44, 367 (1955)."
B190,,,"N. M. Byrne and N. H. P. Smith, J. Chem. Soc. (B) 1968, 809."
B244,"S. Basterfield and J. W. Tomecko. Can. J. Res. 8, 458 (1933).",,
C1,"S. Cabani and P. Cecchi. Ann. Chim. (Rome) 49, 205 (1959) ; CA 53, 13742f.","S. Cabani and P. Cecchi. Ann. Chim. (Rome) 49, 205 (1959); CA 53, 13742f.","D. K. Cabbiness and E. S. Amis, Bull. Chem. Soc. Jpn. 40, 435 (1967)."
C2,"H. J. Campbell and J. T. Edward. Can. J. Chem. 38, 2109 (1960).","S. Cabani and G. Conti. Gazz. Chim. Ital. 95, 533 (1965).","I. Cadariu, L. Gavrila and G. Niac, Z. Phys. Chem. (Leipzig) 242, 391 (1969)."
C3,"K. N. Campbell, F. C. Fatora, and B. K. Campbell. J. Chem. 17, 1411 (1952).","G. Canalini, I. Degani, R. Fochi and G. Spunta. Ann. Chim. (Rome) 57, 1045 (1967).","D. E. Caddy and J. H. P. Utley, J. Chem. Soc., Perkin Trans. 2 1973, 1258."
C4,"V. D. Canic. Naturwiss. 46, 575 (1959).","M.J. Carlo, A. Cosmatos and H.K. Zimmerman. Liebigs Ann. Chem. 650, 187 (1961).","J. Calmon, Y. Cazaux-Maraval and P. Maroni, Bull. Soc. Chim. Fr. 1968, 3779."
C5,"V. D. Canic, M. B. Anchelkovic and V. B. Golubovic. Glasnik Khem. Drustova Beograd, 21, 65 (1956); CA 54, 8815h.","M.J. Carlo and H.K. Zimmerman. Liebigs Ann. Chem. 682, 242 (1965).","J. Calmon and P. Maroni, Bull. Soc. Chim. Fr. 1965, 2525."
C6,"R. K. Gannan and B. C. J. G. Knight. Biochem. J. 21, 1384 (1927).","G. Cauzzo, G. Galiazzo, U. Mazzucato and N. Mongiat. Tetrahedron 22, 589 (1966).","C. Calzolari, Univ. Studi Trieste, Fac. Sci. Ist. Chim. 1954, 4; CA 49, 7338."
C6a,,"G. Cauzzo and U. Mazzucato. Atti Accad. Nazl. Lincei. Rend. Classe Sci. Fis., Mat. Nat. 34, 539 (1963); CA 60, 4955b.",
C7,"R. K. Cannan and A. Shore. Biochem. J. 22, 920 (1928).","M.R. Chakrabarty, E.S. Hanrahan, N.D. Heindel and G.F. Watts. Anal. Chem. 39, 238 (1967).","D. L. Campbell and T. Moeller, J. Inorg. Nucl. Chem. 31, 1077 (1969)."
C8,"G. A. Carlson, J. P. McReynolds, and F. H. Verhoek. J. Am. Chem. Soc. 67, 1334 (1945).","A. Chakravorty and F.A. Cotton. J. Phys. Chem. 67, 2878 (1963).","E. Campi, G. Ostacoli, N. Cibrario and G. Saini, Gazz. Chim. Ital. 91, 361 (1961)."
C9,"W. H. Carothers, C. F. Bickford, and G. J. Hurwitz. J. Am. Chem. Soc. 49, 2908 (1927).","M. Chanon, R. Gallo, J.M. Surzur and J. Metzger. Bull. Soc. Chim. France 1968, 2885.","E. Campi, G. Ostacoli, M. Meirone and G. Saini, J. Inorg. Nucl. Chem. 26, 553 (1964)."
C10,"W. Carr and W. J. Shutt. Trans. Faraday Soc. 35, 579 (1939).","L.G. Chatten and L.E. Harris. Anal. Chem. 34, 1495 (1962).","E. Campi, G. Ostacoli and A. Vanni, Gazz. Chim. Ital. 95, 796 (1965)."
C11,"D. J. Carswell, J. Cymerman, and L. E. Lyons. J. Chem. Soc.","G.W.H. Cheeseman and B. Tuck. J. Chem. Soc. 1965, 3678.","J. Canonne, J. Nicole and G. Tridot, Chim. Anal. (Paris) 51, 317 (1969); CA 71, 74808g."
C11a,,"B.D. Chernokal'skii, A.S. Gel'fond and G. Kamai. Zh. Obshch. Khim. 38, 2108 (1968).",
C12,"G. H.  Cartledge. J. Am. Chem. Soc. 73, 4416 (1951). 1952, 430.","Y. Chiang, R.L. Hinman, S. Theodoropulos and E.B. Whipple. Tetrahedron 23, 745 (1967).","G. L. van de Cappelle and M. A. Herman, Anal. Chim. Acta 43, 89 (1968)."
C13,"J. C. Cavagnol and G. Wilson. J. Am. Chem. Soc. 72, 3752 (1950).","E. Chinoporos, N. Papathanasopoulos and S.C.J. Fu. Chim., Chron., A 32, 35 (1967); CA 68, 73591g.","G. L. van de Cappelle, M. A. Herman and Z. Eeckhaut, Bull. Soc. Chim. Belg. 79, 421 (1970)."
C14,"L. F. Cavalieri. J. Am. Chem. Soc. 75, 5268 (1953).","G. Choux and R.L. Benoit. J. Org. Chem. 32, 3974 (1967).","B. Carlqvist and D. Dyrssen, Acta Chem. Scand. 16, 94 (1962)."
C15,"L. F. Cavalieri, S. E. Kerr, and A. Angelos. J. Am. Chem. Soc. 73, 2567 (1951).","G.N. Chremos and H.K. Zimmerman. Z. Physik. Chem. (Frankfurt) 35, 129 (1962).","J. D. Carr and D. G. Swartzfager, Anal. Chem. 43, 1520 (1971)."
C16,"P. Ceechi. Ric. Sci. 28, 2526 (1958) ; CA 53, 14650d.","J.J. Christensen, R.M. Izatt, D.P. Wrathall and L.D. Hansen. J. Chem. Soc., A 1969, 1212.","J. D. Carr and D. G. Swartzfager, J. Am. Chem. Soc. 95, 3569 (1973)."
C17,"S. Chaberek, R. C. Courtney, and A. E. Martell. J. Am. Chem. Soc. 75, 2185 (1953).","J.J. Christensen, J.H. Rytting and R.M. Izatt. J. Phys. Chem. 71, 2700 (1967).","R. L. Carroll and R. R. Irani, Inorg. Chem. 6, 1994 (1967)."
C18,"A. K. Chakraburtty, N. N. Ghosh, and P. Ray, J. Indian Chem. Soc. 30, 185 (1953).","J.J. Christensen, J.H. Rytting and R.M. Izatt. J. Chem. Soc., B 1970, 1643.","R. P. Carter, R. L. Carroll and R. R. Irani, Inorg. Chem. 6, 939 (1967)."
C19,"R. W. Chambers and F. H. Carpenter. J. Am. Chem. Soc. 77, 1522 (1955).","J.J. Christensen, D.P. Wrathall, R.M. Izatt and D.O. Tolman. J. Phys. Chem. 71, 3001 (1967).","R. P. Carter, M. M. Crutchfield and R. R. Irani, Inorg. Chem. 6, 943 (1967)."
C20,"J. Chatt and G. A. Gamlen. J. Chem. Soc. 1956, 2371.","J. Clark. J. Chem. Soc., C 1967, 1543.","M. L. Casey, D. S. Kemp, K. G. Paul and D. D. Cox, J. Org. Chem. 38, 2294 (1973)."
C20a,,"J. Clark and F.S. Yates. J. Chem. Soc., C 1971, 371.",
C21,J. Chauvelier and M. Gaudemar. Communication to Soc. Chim. France 22.12.1950.,"J. Clauwaert and J. Stockx. Z. Naturforsch., B 23, 25 (1968).","J. Cason and M. J. Kalm, J. Org. Chem. 19, 1947 (1954)."
C22,"V. Chavane. Ann. Chim. (Paris) [12], 4, 383 (1949).","E. Coates, P.G. Gardam and B. Rigg. Trans. Faraday Soc. 62, 2577 (1966).","D. Cavallino, C. DeMarco, B. Mondovi and F. Stirpe, Atti accad. nazl. Lincei Rend. Classe sci. fis. mat. e nat. 18, 552 (1958); CA 52, 17101h."
C23,"G. W. H. Cheeseman. J. Chem. Soc. 1958, 108.","E. Coates, C. Marsden and B. Rigg. Trans. Faraday Soc. 65, 863 (1969).","M. Cefola, A. S. Tompa, A. V. Celiano and P. S. Gentile, Inorg. Chem. 1, 290 (1962)."
C24,"G. W. H. Cheeseman. J. Chem. Soc. 1960, 242.","B. Cohen. Public Health Rept. (U.S.A.) 32, 3051 (1927).","S. Chaberek and A. E. Martell, J. Am. Chem. Soc. 75, 2888 (1953)."
C25,"A. S. Chia and R. F. Trimble. J. Phys. Chem. 65, 863 (1961).","J.B. Conant and P.D. Bartlett. J. Am. Chem. Soc. 54, 2881 (1932).","S. Chaberek and A. E. Martell, J. Am. Chem. Soc. 76, 215 (1954)."
C25a,"Y. Chiang and E. B. Whipple J. Am. Chem. Soc. 85, 2763 (1963).",,
C26,"A. C. Chibnall and R. K. Cannan. Biochem. J. 24, 945 (1930).","H.L. Conley and R.B. Martin. J. Phys. Chem. 69, 2914 (1965).","S. Chaberek and A. E. Martell, J. Am. Chem. Soc. 77, 1477 (1955)."
C27,"J. Chilton and J. B. Stenlake. J. Pharm. Pharmacol. 7, 1004 (1955).","H.L. Conley and R.B. Martin. J. Phys. Chem. 69, 2923 (1965).","R. W. Chambers, Prog. Nucleic Acid Res. Mol. Biol. 5, 349 (1966)."
C28,"G. Chremos and H. K. Zimmerman. Texas J. Sci. 11, 467 (1959); CA 54, 11655a.","P.J. Conn and D.F. Swinehart. J. Phys. Chem. 69, 2653 (1965).","P. K. Chang, J. Org. Chem. 23, 1951 (1958)."
C29,"H. N. Christensen. J. Am. Chem. Soc. 81, 6495 (1959).","W.A. Connor, M.M. Jones and D.L. Tuleen. Inorg. Chem. 4, 1129 (1965).","P. K. Chang, J. Org. Chem. 26, 1118 (1961)."
C30,"S. R. Christophers. Ann. Trop. Med. and Parasitol. 31, 43 (1937).","A.G. Cook, S.B. Herscher, D.J. Schultz and J.A. Burke. J. Org. Chem. 35, 1550 (1970).","T-H. Chang, J-T. Lin, T-I. Chou and S-K. Yang, J. Chinese Chem. Soc. (Taiwan) 11, 125 (1964); CA 62, 9859e."
C31,"S. R. Christophers and J. D. Fulton. Ann. Trop. Med. and Parasitol. 34, 1 (1940).","C.J. Cooksey and M.D. Johnson. J. Chem. Soc., B 1968, 1191.","J. D. Chanley and L. Feageson, J. Am. Chem. Soc. 77, 4002 (1955)."
C32,"R. Cigén. Acta Chem. Scand. 15, 1892, 1905 (1961).","E.H. Cordes and W.P. Jencks. J. Am. Chem. Soc. 84, 4319 (1962).","J. D. Chanley, E. M. Gindler and H. Sobotka, J. Am. Chem. Soc. 74, 4347 (1952)."
C33,"M. Claesen and H. Vanderhaeghe. Bull. Soc. Chim. Belges. 66, 292 (1957).","M.C. Cox, D.H. Everett, D.A. Landsman and R.J. Munn. J. Chem. Soc., B 1968, 1373.","J. D. Chanley and E. M. Gindler, J. Am. Chem. Soc. 75, 4035 (1953)."
C34,J. Clark. Unpublished data.,"F. Cruège, G. Girault, S. Coustal, J. Lascombe and P. Rumpf. Bull. Soc. Chim. France 1970, 3889.","M. C. Chattopadhyaya and R. S. Singh, Indian J. Chem. 8, 1126 (1970)."
C35,"W. M. Clark, B. Cohen, and H. D. Gibbs. U.S. Public Health Rpts. 1926, suppl. 54","G. Culbertson and R. Pettit. J. Am. Chem. Soc. 85, 741 (1963).","R. K. Chaturvedi, Dinkar and B. Biswas, Proc. Nat. Acad. Sci., India Sect. A 34A, 22 (1964)."
C36,J. Clark and W. Kernick. Unpublished data,,"R. K. Chaturvedi and S. S. Katiyar, Bull. Chem. Soc. Jpn. 35, 1416 (1962)."
C37,"H. B. Clarke, S. P. Datta, and B. R. Rabin. Biochem. J. 59, 209 (1955).",,"R. K. Chaturvedi and S. S. Katiyar, J. Sci. Ind. Res. (India) 21B, 47 (1962); CA 57, 9726h."
C38,"K. Clarke and K. Rothwell. J. Chem. Soc. 1960, 1885.",,"V. Chavane, Ann. Chim. (Paris) [12], 4, 383 (1949)."
C39,"J. B. Class, J. G. Aston, and T. S. Oakwood. J. Am. Chem. Soc. 75, 2937 (1953).",,"I. D. Chawla and A. C. Andrews, J. Inorg. Nucl. Chem. 32, 91 (1970)."
C40,"C. G. Clear and G. E. K. Branch. J. Org. Chem. 2, 522 (1938).",,"D. T. Y. Chen and K. J. Laidler, Trans. Faraday Soc. 58, 480 (1962)."
C41,"W. Cocker and J. O. Harris. J. Chem. Soc. 1940, 1290.",,"G. E. Cheney, Q. Fernando and H. Freiser, J. Phys. Chem. 63, 2055 (1959)."
C42,"B. Cohen, E. R. Van Artsdalen, and J. Harris. J. Am. Chem. Soc. 70, 281 (1948).",,"B. D. Chernokalskii, V. S. Gamayurova and G. K. Kamai, J. Gen. Chem. USSR (Engl. Transl.) 36, 1674 (1966)."
C43,"E. J. Cohn. Ergeb. Physiol. Biol. Chem. Exptl. Pharmakol. 33, 781 (1931).",,"L. I. Chernomorchenko and A. G. Akhmetshin, J. Anal. Chem. USSR (Engl. Transl.) 25, 192 (1970)."
C44,"W. E. Cohn. Unpublished, quoted in The Nucleic Acids (ed. E. Chargaff and J. N. Davidson), pp. 217, 227, Vol. 1, Academic Press, New York (1955).",,"M. V. Chidambaram and P. K. Bhattacharya, J. Inorg. Nucl. Chem. 32, 3271 (1970)."
C45,"E. J. Cohn and J. T. Edsall. Proteins, Amino-acids and Peptides, Am. Chem. Soc. Monograph Series, No. 90, p. 80, Reinhold Publ. Corp., New York (1943). ",,"N. M. Chopra, W. Cocker, B. E. Cross, J. T. Edward, D. H. Hayes and H. P. Hutchison, J. Chem. Soc. 1955, 588."
C46,"D. J. Collins and J. Coated: J. Chem. Soc. 1958, 2893.",,"G. Choux and R. L. Benoit, Bull. Soc. Chim. Fr. 1967, 2920."
C47,"E. H. Cordes and W. P. Jencks. J. Am. Chem. Soc. 84, 832 (1962).",,"G. Choux and R. L. Benoit, J. Org. Chem. 32, 3974 (1967)."
C48,"G. Costa. Ann. Chim. (Rome) 43, 585 (1953); CA 49, 1015a.",,"H. N. Christensen, J. Biol. Chem. 160, 425 (1945)."
C49,"F. A. Cotton and F. E. Harris. J. Phys. Chem. 59, 1203 (1955).",,"J. J. Christensen, R. M. Izatt and L. D. Hansen, J. Am. Chem. Soc. 89, 213 (1967)."
C50,"R. W. Cowgill. J. Am. Chem. Soc. 79, 2249 (1957).",,"J. J. Christensen, J. L. Oscarson and R. M. Izatt, J. Am. Chem. Soc. 90, 5949 (1968)."
C51,"R. W. Cowgill and W. M. Clark. J. Biol. Chem. 198, 33 (1952).",,"J. J. Christensen, J. H. Rytting and R. M. Izatt, J. Am. Chem. Soc. 88, 5105 (1966)."
C52,"L. C. Craig. J. Am. Chem. Soc. 55, 2543 (1933).",,"J. J. Christensen, J. H. Rytting and R. M. Izatt, Biochemistry 9, 4907 (1970)."
C53,"L. C. Craig and R. M. Hixon. J. Am. Chem. Soc. 53, 4367 (1931).",,"J. J. Christensen, J. H. Rytting and R. M. Izatt, J. Chem. Soc. (B) 1970, 1646."
C54,"L. C. Craig, T. Shedlovsky, R. G. Gould, and W. A. Jacobs. J. Biol. Chem. 125, 289 (1938).",,"J. J. Christensen, M. D. Slade, D. E. Smith, R. M. Izatt and J. Tsang, J. Am. Chem. Soc. 92, 4164 (1970)."
C55,"D. J. Cram, R. H. Bauer, N. L. Allinger, R. A. Reeves, W. J. Wechter, and E. Heilbronner. J. Am. Chem. Soc. 81, 5977 (1959).",,"H. Christol and M. Gaignon, J. Chim. Phys. Phys.-Chim. Biol. 57, 707 (1960)."
C56,"J. B. Culbertson. J. Am. Chem. Soc. 73, 4818 (1951).",,"V. Chromy and L. Sommer, Talanta 14, 393 (1967)."
C57,"A. C. Cumming. Proc. Roy. Soc. (London) A78, 103 (1906).",,"R. F. R. Church and M. J. Weiss, J. Org. Chem. 35, 2465 (1970)."
C58,"J. Cymerman-Craig and J. W. Loder. J. Chem. Soc. 1955, 4309.",,"M. Claesen and H. Vanderhaeghe, Bull. Soc. Chim. Belg. 66, 292 (1957)."
C59,"J. Cymerman-Craig, M. J. Parker, and P. Woodhouse. J. Chem. Soc. 1953, 3050.",,"J. Clark, W. Kernick and A. J. Layton, J. Chem. Soc. 1964, 3215."
C60,"E. J. Czarnetsky and C. L. A. Schmidt. J. Biol. Chem. 92, 453 (1931).",,"M. E. Clark and J. L. Bear, J. Inorg. Nucl. Chem. 32, 3569 (1970)."
C61,"E. J. Czarnetsky and C. L. A. Schmidt. Z. Physiol. Chem. 204, 129 (1931).",,"R. J. H. Clark and A. J. Ellis, J. Chem. Soc. 1960, 247."
C62,,,"V. M. Clark, A. W. Johnson, I. O. Sutherland and A. Todd, J. Chem. Soc. 1958, 3283."
C63,,,"E. R. Clarke and A. E. Martell, J. Inorg. Nucl. Chem. 32, 911 (1970)."
C64,,,"J. H. R. Clarke and L. A. Woodward, Trans. Faraday Soc. 62, 2226 (1966)."
C65,,,"G. L. Closs and L. E. Closs, J. Am. Chem. Soc. 83, 1003 (1961)."
C66,,,"G. L. Closs and L. E. Closs, J. Am. Chem. Soc. 85, 2022 (1963)."
C67,,,"E. Coates and B. Rigg, Trans. Faraday Soc. 57, 1088 (1961)."
C68,,,"E. Coates, B. Rigg and D. L. Smith, Trans. Faraday Soc. 64, 3255 (1968)."
C69,,,"W. Cocker, W. J. Davis, T. B. H. McMurray and P. A. Start, Tetrahedron 7, 299 (1959)."
C70,,,"L. A. Cohen and W. M. Jones, J. Am. Chem. Soc. 85, 3397 (1963)."
C71,,,"L. A. Cohen and W. M. Jones, J. Am. Chem. Soc. 85, 3402 (1963)."
C72,,,"W. Cohen and B. F. Erlanger, J. Am. Chem. Soc. 82, 3928 (1960)."
C73,,,"W. E. Cohn, J. Biol. Chem. 235, 1488 (1960)."
C74,,,"C. Concilio and A. Bongini, Ann. Chim. (Rome) 56, 417 (1966); CA 65, 3082c."
C75,,,"J. W. Cook, A. R. Gibb, R. A. Raphael and A. R. Somerville, J. Chem. Soc. 1951, 503."
C76,,,"E. J. Corey, H. Konig and J. H. Lowry, Tetrahedron Lett. 1962, 515."
C77,,,"A. K. Covington and T. H. Lilley, Trans. Faraday Soc. 63, 1749 (1967)."
C78,,,"A. K. Covington, M. Paabo, R. A. Robinson and R. G. Bates, Anal. Chem. 40, 700 (1968)."
C79,,,"L. K. Creamer, A. Fischer, B. R. Mann, J. Packer, R. B. Richards and J. Vaughan, J. Org. Chem. 26, 3148 (1961)."
C80,,,"F. T. Crimmins, C. Dymek, M. Flood and H. F. O'Hara, J. Phys. Chem. 70, 931 (1966)."
C81,,,"D. G. Crosby and R. V. Berthold, J. Org. Chem. 23, 1377 (1958)."
C82,,,"W. D. Crow and I. Gosney, Aust. J. Chem. 20, 2729 (1967)."
C83,,,"C. A. Crutchfield, W. M. McNabb and J. F. Hazel, J. Inorg. Nucl. Chem. 24, 291 (1962)."
C84,,,"B. Csiszar, M. Halmos, M. T. Beck and P. Szarvas, Magy. Kem. Folyoirat 70, 214 (1964); CA 61, 5012d."
D1,"J. B. Dalton, P. L. Kirk and C. L. A. Schmidt. J. Biol. Chem. 88, 589 (1930).","S.P. Datta and A.K. Grzybowski. J. Chem. Soc. 1962, 3068.","D. B. Dahlberg and F. A. Long, J. Am. Chem. Soc. 95, 3825 (1973)."
D2,"P. Damsgaard-Sorensen and A. Unmack. Z. Physik. Chem. A172, 389 (1935).","S.P. Datta and A.K. Grzybowski. J. Chem. Soc., B 1966, 136.","G. Dahlgren and F. A. Long, J. Am. Chem. Soc. 82, 1303 (1960)."
D3,"J. P. Danehy and C. J. Noel. J. Am. Chem. Soc. 82, 2511 (1960).","S.P. Datta, A.K. Grzybowski and R.G. Bates. J. Phys. Chem. 68, 275 (1964).","K. Daigo, J. Pharm. Soc. Jpn. 79, 353 (1959)."
D4,"B. Das Sarma. J. Indian Chem. Soc. 29, 217 (1952).","S.P. Datta, A.K. Grzybowski and B.A. Weston. J. Chem. Soc. 1963, 792.","G. Dalman and G. Gorin, J. Org. Chem. 26, 4682 (1961)."
D5,"S. P. Datta and A. K. Grzybowski. Trans. Faraday Soc. 54, 1179, 1188 (1958).","R.L. Davies and K.W. Dunning. J. Chem. Soc. 1965, 4168.","D. Dal Monte and E. Sandri, Ann. Chim. (Rome) 54, 486 (1964)."
D6,"S. P. Datta and A. K. Grzybowski. J. Chem. Soc. 1959, 1091.","J. Davey, B.R.T. Keene and G. Mannering. J. Chem. Soc., C 1967, 120.","D. Dal Monte and E. Sandri, Boll. Sci. Fac. Chim. Ind. Bologna 22, 33 (1964); CA 62, 1542g."
D7,"S. P. Datta and A. K. Grzybowski. Biochem. J. 78, 289 (1961).","A. de Courville. Compt. Rend., C 262, 1196 (1966).","G. D'Amore, F. Corigliano and S. Di Pasquale, Ann. Chim. (Rome) 54, 317 (1964)."
D8,"S. P. Datta and A. K. Grzybowski. In Biochemists’ Handbook, (Ed. C. Long), p. 43, E. and F. N. Spon, Ltd., London (1961).","J. Degani, R. Fochi and G. Spunta. Boll. Sci. Fae. Chim. Ind. Bologna 23, 243 (1965); CA 63, 13050f.","J. P. Danehy and C. J. Noel, J. Am. Chem. Soc. 82, 2511 (1960)."
D8a,,"C.L. de Ligny. Rec. Trav. Chim. 79, 731 (1960).",
D9,"S. P. Datta and A. K. Graybowsli: Unpublished, quoted in preceeding reference.","N.C. Deno and M.J. Wisotsky. J. Am. Chem. Soc. 85, 1735 (1963).","J. P. Danehy and K. N. Parameswaran, J. Chem. Eng. Data 13, 386 (1968)."
D10,"S. P. Datta, R. Leberman, and B. R. Rabin. Trans. Faraday Soc. 55, 1982 (1959).","A. de Roocker and P. de Radzitzky. Bull. Soc. Chim. Belg. 72, 195 (1963).","S. Darling and P. O. Larsen, Acta Chem. Scand. 15, 743 (1961)."
D11,"S. P. Datta and B. R. Rabin. Trans. Faraday Soc. 52, 1117 (1956).","J.W. Diehl and D.B. Donovan. Sci. Studies. St. Bonaventure Univ. 22, 47 (1964); CA 64, 2805h.","S. N. Das and D. J. G. Ives, Proc. Chem. Soc., London 1961, 373."
D12,"W. B. Davidson and A. Hantzsch. Ber. 31, 1612 (1898).","G. Dienys, P. Adomenas, M. Teberaite and S. Jonaitis. Zh. Fiz. Khim. 44, 2070 (1970).","S. P. Datta and A. K. Grzybowski, Biochem. J. 69, 218 (1958)."
D13,"W. C. Davies and H. W. Addis. J. Chem. Soc. 1937, 1622.","R.L. Dion and T.L. Loo. J. Org. Chem. 26, 1857 (1961).","N. K. Davidenko, J. Gen. Chem. USSR (Engl. Transl.) 28, 832 (1957)."
D14,"M. T. Davies, P. Mamalis, V. Petrow, and B. Sturgeon. J. Pharm. Pharmacol. 3, 420 (1951).","W. von E. Doering and L.H. Knox. J. Am. Chem. Soc. 76, 3203 (1954).","N. K. Davidenko, Russ. J. Inorg. Chem. (Engl. Transl.) 9, 965 (1964)."
D14a,,"G.S. Dokolina, Y.I. Tur'yan and M.A. Korshunov. Zh. Obshch. Khim. 39, 1203 (1969).",
D15,"T. L. Davis and R. C, Elderfield. J. Am. Chem. Soc. 54, 1499 (1932).","A. Dolenko, K. Mahendran and E. Buncel. Can. J. Chem. 48, 1736 (1970).","N. K. Davidenko and V. F. Deribon, Russ. J. Inorg. Chem. (Engl. Transl.) 11, 53 (1966)."
D15a,,"D. Dolman and R. Stewart. Can. J. Chem. 45, 903 (1967).",
D16,"C. T. Davis and T. A. Geissman. J. Am. Chem. Soc. 76, 3507 (1954).","D.A. Doornbos and J.S. Faber. Pharm. Weekblad. 99, 289 (1964).","M. M. Davis and H. B. Hetzer, J. Phys. Chem. 61, 123 (1957)."
D17,"M. M. Davis and H. B. Hetzer. J. Am. Chem. Soc. 76, 4247 (1954).","G. Douhéret and J.C. Pariaud. J. Chim. Phys. 59, 1013 (1962).","M. M. Davis and H. B. Hetzer, J. Phys. Chem. 61, 125 (1957)."
D17a,,"T.D. Doyle and J. Levine. Anal. Chem. 39, 1282 (1967).",
D18,"J. Davoll and D. H. Laney. J. Chem. Soc. 1956, 2124.","C. Dragulescu and S. Policec. Acad. Rep. Populare Romine, Baza Cercetari, Stiant Timisoara. Studii Cercetari Chim. 9, 33 (1962); CA 58, 5085f.","M. M. Davis, M. Paabo and R. A. Robinson, J. Res. Nat. Bur. Stand., Sect. A 64A, 531 (1960)."
D19,"J. G. Dawber and P. A. H. Wyatt. J. Chem. Soc. 1960, 3589.","C.N.R.C. Drey and J.S. Fruton. Biochem. 4, 1 (1965).","M. M. Davis and M. Paabo, J. Res. Nat. Bur. Stand., Sect. A 64A, 533 (1960)."
D20,"W. Debska. Nature 182, 666 (1958).","R. Dryer, J. Redlich and R. Syhre. Z. Physik. Chem. (Leipzig) 238, 417 (1968).","M. M. Davis and M. Paabo, J. Res. Nat. Bur. Stand., Sect. A 67A, 241 (1963)."
D20a,,"J.E. Dubois, P. Alcais and G. Barbier. Bull. Soc. Chim. France 1968, 605.",
D21,"R. H. De Deken, J. Broekhuysen, J. Béchet, and A. Mortier. Biochim. Biophys. Acta 9, 45 (1956).","R.L. Dutta and N.R. Sengupta. J. Indian Chem. Soc. 38, 741 (1961).","H-S. Dawn, I. H. Pitman, T. Higuchi and S. Young, J. Pharm. Sci. 59, 955 (1970)."
D22,"G. Dedichen. Ber. 39, 1831 (1906).",,"H. Deelstra and F. Verbeek, Bull. Soc. Chim. Belg. 72, 612 (1963)."
D23,"A. K. De, N. N. Ghosh, and P. Ray. J. Indian Chem. Soc. 27, 493 (1950).",,"D. DeFilippo and F. Momicchioli, Tetrahedron 25, 5733 (1969)."
D24,"C. L. de Ligny. Rec. Trav. Chim. 79, 731 (1960).",,"D. DeFilippo and C. Preti, Gazz. Chim. Ital. 95, 707 (1965); CA 63, 12398d."
D25,"S. de Mende. Compt. Rend. 222, 791 (1946).",,"D. DeFilippo and C. Preti, Gazz. Chim. Ital. 96, 60 (1966); CA 64, 18500g."
D26,"N. C. Deno, T. Edwards, and C. Perizzolo. J. Am. Chem. Soc. 79, 2108 (1957).",,"C. Degani and M. Halmann, J. Am. Chem. Soc. 88, 4075 (1966)."
