code,perrin_source,perrin_supp_source,serjeant_source
A29,"A. Albert and G. B. Barlin. J. Chem. Soc. 1962, 3129.","J.A. Alduan. Rec. Acad. Cienc. Exact., Fis.-Quim. Nat. Zaragoza 15, 41 (1960); CA 59, 14549f.","A. Albert, J. H. Lister and C. Pedersen, J. Chem. Soc. 1956, 4612."
A30,"A. Albert and D. J. Brown. J. Chem. Soc. 1954, 2060.","D.J. Alnar, B.C. Lansbury and A.G. Smeeth. J. Chem. Soc., A 1968, 417.","A. Albert and J. J. McCormack, J. Chem. Soc. (C) 1968, 63."
A31,"A. Albert, D. J. Brown, and G. Cheeseman. J. Chem. Soc. 1951, 474","M.N. Al-Zagoum and C.G. Warren. J. Inorg. Nucl. Chem. 31, 3465 (1969).","A. Albert and S. Matsuura, J. Chem. Soc. 1962, 2162."
A32,"A. Albert, D. J. Brown, and G. Cheeseman. J. Chem. Soc. 1952, 1620.","I. Ambro. Nehezvegyip. Kut. Intez. Kozlem. 3, 105 (1966); CA 69, 39198v.","A. Albert and M. Mizuno, J. Chem. Soc., Perkin Trans. l 1973, 1974."
A33,"A. Albert, D. J. Brown, and G. Cheeseman. J. Chem. Soc. 1952, 4219.","G. Anderegg. Helv. Chim. Acta 43, 414 (1960).","A. Albert and W. Pendergast, J. Chem. Soc., Perkin Trans. l 1972, 457."
A34,"A. Albert, D. J. Brown, and H. C. S. Wood. J. Chem. Soc. 1954, 3832.","G. Anderegg. Helv. Chim. Acta 45, 1303 (1962).","A. Albert and W. Pendergast, J. Chem. Soc., Perkin Trans. l 1973, 1620."
A35,"A. Albert, D. J. Brown, and H. C. S. Wood. J. Chem. Soc. 1956, 2067.","G. Anderegg and F. Wenk. Helv. Chim. Acta 50, 2330 (1967).","A. Albert and W. Pendergast, J. Chem. Soc., Perkin Trans. l 1973, 1625."
A36,"A. Albert and R. Goldacre. Nature 149, 245 (1942).","K.P. Anderson, W.O. Greenhalgh and R.M. Izatt. Inorg. Chem. 5, 2106 (1966).","A. Albert and J. N. Phillips, J. Chem. Soc. 1956, 1294."
A37,"A. Albert and R. Goldacre. J. Chem. Soc. 1943, 454.","K.P. Anderson, D.A. Newell and R.M. Izatt. Inorg. Chem. 5, 62 (1966).","A. Albert, C. W. Rees and A. J. H. Tomlinson, Br. J. Exp. Pathol. 37, 500 (1956)."
A38,"A. Albert and R. Goldacre. J. Chem. Soc. 1946, 706.","A.C. Andrews and J.K. Romary. J. Chem. Soc. 1964, 405.","A. Albert and F. Reich, J. Chem. Soc. 1961, 127."
A39,"A. Albert, R. Goldacre, and J. Phillips. J. Chem. Soc. 1948, 2240.","A.C. Andrews and D.M. Zebolsky. J. Chem. Soc. 1965, 742.","A. Albert and E. P. Serjeant, J. Chem. Soc. 1964, 3357."
A40,"A. Albert and A. Hampton. J. Chem. Soc. 1954, 505.","W.L.F. Armarego. J. Chem. Soc. 1962, 4094.","A. Albert and H. Taguchi, J. Chem. Soc., Perkin Trans. 1 1972, 449."
A41,A. Albert and C. F. Howell. Unpublished data.,"W.L.F. Armarego. J. Chem. Soc. 1964, 4226.","A. Albert and H. Taguchi, J. Chem. Soc., Perkin Trans. 1 1973, 1629."
A42,"A. Albert, C. F. Howell, and E. Spinner. J. Chem. Soc. 1962, 2595.","W.L.F. Armarego. J. Chem. Soc., C 1966, 377","A. Albert and H. Yamamoto, J. Chem. Soc. (C) 1968, 1181."
A42a,,W.L.F. Armarego. Unpublished data,
A43,"A. Albert, J. H. Lister, and C. Pedersen. J. Chem. Soc. 1956, 4621.","W.L.F. Armarego and T. Kobayashi. J. Chem. Soc., C 1969, 1635.","T. Alfrey and H. Morawetz, J. Am. Chem. Soc. 74, 436 (1952)."
A44,"A. Albert and D. Magrath. Biochem. J. 41, 534 (1947).","W.L.F. Armarego and J.I.C. Smith. J. Chem. Soc. 1965, 5360.","I. P. Alimarin, N. P. Borzenkova and R. I. Shmatko, J. Anal. Chem. USSR (Engl. Transl.) 18, 302 (1963)."
A45,"A. Albert and S. Matsuura. J. Chem. Soc. 1961, 5131.","W.L.F. Armarego and J.I.C. Smith. J. Chem. Soc., C 1966, 234.","I. P. Alimarin and S. Hanshi, Russ. J. Inorg. Chem. (Engl. Transl.) 6, 1054 (1961)."
A46,A. Albert and S. Matsuura. Unpublished data.,"W.L.F. Armarego and J.I.C. Smith. J. Chem. Soc., B 1967, 449.","I. P. Alimarin and H-H. Shen, Vestn. Mosk. Univ., Sen. II, Khim. 15, 38 (1960); CA 56, 995g."
A47,"A. Albert, J. A. Mills, and R. Royer. J. Chem. Soc. 1947, 1452.","R.C. Armstrong. Biochim. Biophys. Acta 158, 174 (1968).","G. F. Allen, R. A. Robinson and V. E. Bower, J. Phys. Chem. 66, 171 (1962)."
A48,"A. Albert and C. Pedersen. J. Chem. Soc. 1956, 4683.","E.M. Arnatt and J.N. Anderson. J. Am. Chem. Soc. 85, 1542 (1963).","G. W. Allen and P. Haake, J. Am. Chem. Soc. 95, 8080 (1973)."
A49,A. Albert and C. Pedersen. Unpublished data.,"E.M. Arnatt and R.D. Bushick. J. Org. Chem. 27, 1118 (1962).","I. Ambro, Nehezvegyip. Kut. Intez. Kozlem. 3, 105 (1966); CA 69, 39198v."
A50,"A. Albert and J. N. Phillips. J. Chem. Soc. 1956, 1294.","E.M. Arnatt and R.D. Bushick. J. Am. Chem. Soc. 86, 1564 (1964).","D. E. Ames and T. F. Grey, J. Chem. Soc. 1956, 631."
A51,"A. Albert and C. W. Rees. Nature 177, 433 (1956).","E.M. Arnatt and G.W. Mach. J. Am. Chem. Soc. 86, 2671 (1964).","A. M. Amin, H. Khalifa and A. S. Moustafa, Fresenius' Z. Anal. Chem. 173, 138 (1960)."
A52,"A. Albert, C. W. Rees, and A. J. H. Tomlinson. Brit. J. Exptl. Pathol. 37, 500 (1956).","E.M. Arnatt, R.P. Quirk and J.J. Burke. J. Am. Chem. Soc. 92, 1260 (1970).","G. Anderegg, Helv. Chim. Acta 46, 1011 (1963)."
A53,"A. Albert and F. Reich. J. Chem. Soc. 1961, 127.","E.M. Arnatt, R.P. Quirk and H.W. Larsen. J. Am. Chem. Soc. 92, 3977 (1970).","G. Anderegg, Helv. Chim. Acta 46, 1833 (1963)."
A53a,"A. Albert, S. D. Rubbo, and M. I. Burvill. Brit. J, Exptl. Pathol. 30, 159 (1949).",,
A54,"A. Albert and E. P. Serjeant. Jonization Constants of Acids and Bases, p. 90, Methuen and Co., Ltd., London (1962).","B.P. Artamonov, A.D. Klyueva and S.L. Maiofis. Med. Prom. SSSR 19, 58 (1965); CA 64, 529b.","G. Anderegg, Helv. Chim. Acta 47, 1801 (1964)."
